Freq_GHz,S11_dB,SimulationID,Wslot,Wtaper,Ltapper,Wbalun,Wstrip,Lstrip_offset
9.04,-10.502805254696,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.105,-10.5008070737158,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.17,-10.5137685951617,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.235,-10.5431755540944,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.3,-10.5901058160696,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.365,-10.6549196502326,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.43,-10.7368666452625,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.495,-10.8336394113697,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.56,-10.9409498623986,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.625,-11.05226179967,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.69,-11.1588622265408,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.755,-11.250450939923,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.82,-11.31632345621,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.885,-11.3470016958124,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
9.95,-11.3359061294875,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.015,-11.2805285560428,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.08,-11.1826985277975,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.145,-11.047901795867,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.21,-10.8839815453573,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.275,-10.6997101918757,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.34,-10.503623407147,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.405,-10.3032893511561,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.47,-10.1049945409542,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.535,-9.91373052858567,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.6,-9.73335119282335,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.665,-9.56679882524967,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.73,-9.41633525500868,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.795,-9.28374559157259,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.86,-9.17050263989912,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.925,-9.07789125242627,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
10.99,-9.00709687317549,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.055,-8.95926394464303,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.12,-8.93552947534415,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.185,-8.93703594191287,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.25,-8.96492634707831,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.315,-9.02032288504597,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.38,-9.10428931697836,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.445,-9.21777578069458,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.51,-9.36154326426841,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.575,-9.53606328688154,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.64,-9.74138644790977,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.705,-9.97697160234005,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.77,-10.2414660469539,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.835,-10.5324275102989,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.9,-10.8459833757562,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
11.965,-11.176435615442,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.03,-11.5158474115642,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.095,-11.8536956349206,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.16,-12.1767427598987,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.225,-12.4693545324194,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.29,-12.7145133457366,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.355,-12.8956654744554,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.42,-12.9992279612853,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.485,-13.0171415998319,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.55,-12.9485707222422,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.615,-12.8000368026996,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.68,-12.5839296693994,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.745,-12.3160365501265,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.81,-12.0129954431586,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.875,-11.690345967595,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
12.94,-11.3614120719869,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.005,-11.0369105679527,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.07,-10.7250406270034,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.135,-10.431819128181,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.2,-10.1614966360039,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.265,-9.91696057214917,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.33,-9.70008382131895,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.395,-9.51200735657866,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.46,-9.35336037317919,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.525,-9.22442709540358,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.59,-9.12527031976788,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.655,-9.05582054109187,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.72,-9.01593757558688,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.785,-9.00544959404313,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.85,-9.02417265146376,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.915,-9.07191219366245,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
13.98,-9.1484465999977,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.045,-9.25349152598959,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.11,-9.38664259659096,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.175,-9.54729287619071,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.24,-9.73452060817242,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.305,-9.94694225416516,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.37,-10.182526450689,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.435,-10.4383671929561,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.5,-10.7104210633476,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.565,-10.9932260481606,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.63,-11.2796410221556,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.695,-11.5606763507811,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.76,-11.8255228822113,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.825,-12.0619133759815,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.89,-12.2569368329408,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
14.955,-12.3983353313393,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.02,-12.4761320110311,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.085,-12.4842230446656,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.15,-12.4214475753433,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.215,-12.2917549681002,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.28,-12.1034093787358,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.345,-11.8675281787888,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.41,-11.59643320222,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.475,-11.3022352874653,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.54,-10.9958709651112,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.605,-10.6866088520715,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.67,-10.3819239644932,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.735,-10.0876046668118,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.8,-9.80797544443297,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.865,-9.54615495314998,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.93,-9.30430284462295,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
15.995,-9.08383351347727,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.06,-8.88559004738759,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.125,-8.7099796911326,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.19,-8.55707564681539,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.255,-8.42669099432019,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.32,-8.31843020264948,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.385,-8.23172285618342,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.45,-8.16584323815996,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.515,-8.11991849566696,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.58,-8.09292735154771,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.645,-8.08369077879837,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.71,-8.09085575022274,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.775,-8.11287316413587,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.84,-8.14797138232741,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.905,-8.19412756441588,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
16.97,-8.24904019782976,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.035,-8.31010790865133,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.1,-8.37442167975343,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.165,-8.43877966891993,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.23,-8.4997352673239,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.295,-8.55368886797757,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.36,-8.59703078785485,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.425,-8.62633583506561,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.49,-8.63859895030812,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.555,-8.63148772366289,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.62,-8.60357508152745,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.685,-8.55450918689352,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.75,-8.48508208697753,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.815,-8.39717501150478,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.88,-8.29358267608731,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
17.945,-8.17774380096041,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.01,-8.05342222815571,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.075,-7.92438779323942,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.14,-7.79413885716763,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.205,-7.66569351613255,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.27,-7.5414596893458,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.335,-7.423180109019,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.4,-7.31193901054925,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.465,-7.20821324658073,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.53,-7.11195053697947,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.595,-7.02266008498956,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.66,-6.93950443361651,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.725,-6.86138518757573,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.79,-6.78701848779801,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.855,-6.71499864217897,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.92,-6.64385006167727,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
18.985,-6.57206872474166,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.05,-6.49815494509156,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.115,-6.42063940017466,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.18,-6.33810432015368,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.245,-6.2492015392691,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.31,-6.15266884208859,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.375,-6.04734574080473,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.44,-5.93218952225145,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.505,-5.80629211808835,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.57,-5.668898084289,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.635,-5.51942372773261,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.7,-5.35747718662156,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.765,-5.18287905384769,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.83,-4.99568292254809,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.895,-4.79619502325372,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
19.96,-4.58499190341464,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.025,-4.36293486486693,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.09,-4.13117962043209,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.155,-3.89117936654825,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.22,-3.64467922401245,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.285,-3.393699831468,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.35,-3.14050787754463,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.415,-2.88757164857257,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.48,-2.6375003816373,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.545,-2.39296745258699,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.61,-2.15661921765463,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.675,-1.93097354308459,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.74,-1.71831439047001,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.805,-1.52059079279142,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.87,-1.33932959143443,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
20.935,-1.17557092785224,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
21,-1.02983349608715,SIM090,0.0359669061200546,1.74982618488168,3.51560844963993,0.338068164244594,0.138921082386945,0.433915043309442
